Epoch,BitcoinCalculatedDifficulty,RealDifficulty,OurCalculatedDifficulty,BitcoinMistake,OurMistake
132,267731738,390928787,306057759,0.3151393632,0.2171009934
133,390929150,510929738,450385190,0.2348671042,0.1184987749
134,510930558,609482679,611754230,0.1616979849,0.0037270149
135,609482932,707408283,731082439,0.1384283353,0.033466043
136,707409649,908350862,816685879,0.2212154151,0.1009136302
137,908352321,1180923195,1006591519,0.2308116863,0.1476232127
138,1180925723,1418481395,1330358039,0.1674718279,0.0621251405
139,1418483960,1789546951,1655240886,0.2073502407,0.0750503165
140,1789550170,2193847870,2044615292,0.1842870262,0.0680232117
141,2193851385,2621404453,2498161256,0.1631007636,0.0470141862
142,2621407281,3129573174,3009088917,0.162375463,0.0384986228
143,3129577671,3815723798,3545506220,0.1798207007,0.07081686
144,3815728292,4250217919,4283594598,0.1022276117,0.0078529336
145,4250221335,5006860589,4847384839,0.1511204957,0.0318514461
146,5006867495,6119726089,5567184531,0.1818477784,0.0902886093
147,6119730239,6978842649,6715301384,0.1231024187,0.0377628897
148,6978849927,8000872135,7913601957,0.1277388503,0.0109075831
149,8000882680,8853416309,8986870271,0.0962943116,0.0150737249
150,8853423052,10455720138,9793991103,0.1532459807,0.0632887096
151,10455728608,11756551916,11393021471,0.110646669,0.0309215191
152,11756573917,13462580114,12983981874,0.1267220832,0.0355502612
153,13462599386,16818461371,14914166722,0.199534423,0.1132264484
154,16818473494,17336316978,18321898105,0.0298704439,0.0568506637
155,17336338828,18736441558,19867283767,0.0747261814,0.0603552284
156,18736451385,19729645940,20673309659,0.0503402118,0.0478297341
157,19729676165,23844670038,20688662355,0.1725749975,0.1323569451
158,23844670109,27428630902,25041380413,0.1306649539,0.0870349854
159,27428632355,29829733124,29982762639,0.0804935384,0.0051301
160,29829780539,34661425923,33679215605,0.1393954592,0.0283372738
161,34661474553,35002482026,37653977668,0.0097423798,0.0757516464
162,35002515731,35985640265,38618951784,0.0273199122,0.073176731
163,35985643511,39603666252,38572042175,0.0913557527,0.0260487014
164,39603706086,40300030327,40265808409,0.0172785041,0.0008491785
165,40300091670,40007470271,42600655192,0.007314169,0.0648175179
166,40007503461,39457671307,42164712773,0.013934734,0.0686062146
167,39457725814,40640955016,39659607755,0.0291142076,0.0241467569
